,machineID,volt,rotate,pressure,vibration
0,1,176.217853,418.5040782,113.0779355,45.08768576
1,2,176.5589132,424.6241621,76.00533247,43.76704852
2,3,185.4820432,461.2111374,87.45319939,28.21686425
3,4,169.7108469,463.6467269,95.92987658,38.40037192
4,5,165.0828994,452.2835762,84.5917221,40.29880253
5,6,136.8785885,492.0884196,149.003582,22.97328948
6,7,156.0063913,519.4979051,105.878295,42.52224477
7,8,159.3793197,409.4192167,111.7357327,44.10403835
8,1,162.8792229,402.7474896,95.46052538,43.41397268
9,2,158.2820441,432.3729603,110.9078057,37.26711356
10,3,179.8185164,519.1661847,109.3186032,37.29072175
11,4,180.186857,538.763646,92.69191972,44.82682879
12,5,192.7839953,515.3896733,119.0821374,37.30235906
13,6,154.3968637,450.4983412,146.8229049,32.15251671
14,7,216.9135021,510.5411089,106.8316508,52.66732123
15,8,152.3491534,504.9095338,109.0040269,48.68422118
16,1,170.9899024,527.3498255,75.23790486,34.17884712
17,2,168.2420279,454.6296389,97.87700656,39.70946132
18,3,165.6168026,467.1074817,101.2855804,34.53003475
19,4,156.8619906,413.8049843,81.50661438,54.35209009
20,5,159.7020562,512.2940127,90.21253972,44.29500548
21,6,151.9956949,360.7975149,162.0903146,43.66358807
22,7,175.1505247,453.6744455,96.96183901,32.39717146
23,8,196.7514677,363.6782119,108.7766707,38.40074592
24,1,162.4628333,346.149335,109.2485613,41.12214409
25,2,180.2803164,438.3910224,84.4404301,40.49044263
26,3,165.0070129,391.9948715,98.82566859,27.49550731
27,4,170.282492,416.3034786,96.26530828,37.61305229
28,5,162.7061617,308.5788546,95.07289842,39.40140557
29,6,172.8206476,455.9915563,133.6472669,44.90855244
30,7,168.2682412,488.0033324,102.4978765,37.64548109
31,8,171.1702678,485.0671474,97.88724721,34.87603485
32,1,157.6100212,435.376873,111.8866482,25.990511
33,2,169.7195309,473.0556636,110.3956834,41.22957798
34,3,138.8981644,488.7641185,102.8000174,44.69821788
35,4,187.4873324,464.1101598,100.8856452,41.65137116
36,5,166.1583499,521.1536783,76.8743884,41.02331682
37,6,181.4694554,428.1380478,119.1046538,40.00901178
38,7,171.7865801,513.9356589,105.2370396,33.9897413
39,8,155.3237469,463.0004631,100.9293573,38.32271397
40,1,172.5048392,430.3233621,95.92704169,35.65501733
41,2,191.2572471,369.7387918,101.2234509,45.61654258
42,3,171.1008116,424.2929899,108.1981337,37.54005585
43,4,152.7430668,454.0447804,103.0710606,35.65515068
44,5,162.3938326,391.6487663,88.47627039,36.68694802
45,6,138.199503,436.9005723,135.529745,39.37605815
46,7,155.4950326,429.4765479,105.940375,41.32855754
47,8,201.4604026,529.125438,101.1317284,36.94301758
48,1,156.5560306,499.0716231,111.7556843,42.7539197
49,2,186.2829772,483.6984163,115.0618633,50.69056106
50,3,164.0366976,382.6485879,95.68015221,41.32969567
51,4,189.7088777,451.816796,117.8502559,42.58772152
52,5,166.8756409,426.4699014,84.66339314,32.35674332
53,6,165.3903928,475.3448068,151.586367,28.49826658
54,7,170.0754857,444.2367257,98.18733744,44.14377359
55,8,137.2103553,446.5550714,119.7347131,38.55402491
56,1,172.5227808,409.624717,101.0010828,35.48200866
57,2,179.3671884,450.9439612,94.37801921,38.6848154
58,3,152.9676194,461.7817306,97.86455847,36.78585488
59,4,183.523486,551.3272834,95.76989636,46.03973144
60,5,206.5330899,394.8757133,102.4397336,36.4788386
61,6,164.9978564,520.9476765,117.302419,38.41598339
62,7,187.4649991,408.6233806,99.06585455,52.16544073
63,8,196.0416179,405.2267056,94.89738777,42.87358599
64,1,175.3245239,398.6487807,110.6243605,45.48228685
65,2,168.8937823,494.8763131,101.9100218,34.56668061
66,3,160.794446,512.5744756,119.8539281,29.05150683
67,4,151.1521265,413.855056,105.3924362,43.07154841
68,5,177.6533188,489.676632,103.3671082,39.38505477
69,6,170.2042239,526.7477155,127.8917174,39.11241441
70,7,169.8202397,401.687766,97.06671018,32.03818333
71,8,148.9898871,489.1705204,94.81450689,30.8269446
72,1,169.2184232,460.8506699,104.84823,39.90173544
73,2,158.5957972,427.282619,92.47016278,32.16023225
74,3,177.6928747,416.7394585,101.2543787,36.70344252
75,4,152.7544546,421.1673229,94.52448075,33.56611266
76,5,175.5015679,472.3112158,94.2647624,43.01950066
77,6,152.3940431,524.9534272,111.0005859,45.75053439
78,7,175.1694868,409.9901725,102.0610902,42.22939372
79,8,156.9801147,467.6744425,103.6542481,42.98948299
80,1,167.0609807,382.4835429,103.7806625,42.67579991
81,2,165.7543944,457.2826764,108.0073725,46.98052718
82,3,175.5769999,428.8194564,87.63134664,38.86759401
83,4,157.625244,423.7852293,106.3871135,47.13274324
84,5,164.853542,454.7922915,108.1246629,32.72903952
85,6,157.4748025,361.6172579,126.6346813,37.29781855
86,7,182.8646191,414.6814148,97.08330572,34.31193657
87,8,178.6076462,450.3386964,116.205197,28.34281964
88,1,160.2639537,448.084256,96.48097567,38.54368093
89,2,194.1082129,400.1012962,108.8372581,43.56329861
90,3,173.2226116,466.103726,87.00280796,27.64429827
91,4,157.2779886,327.2438657,103.5761952,37.03555843
92,5,169.7792853,472.1506153,117.6959845,39.20790939
93,6,196.0926179,519.8962366,106.6875714,40.80240239
94,7,180.1801328,493.2489955,105.6765055,42.28088204
95,8,167.5733057,479.0924832,105.8574325,31.88534221
96,1,153.3534915,490.672921,86.01244025,44.10855437
97,2,153.540806,422.9783606,99.85481979,38.07705876
98,3,168.0458078,521.450614,107.3676782,34.61256713
99,4,199.3588444,437.1902937,96.84712098,45.29682825
100,5,191.361977,419.460351,115.8498229,46.82207069
101,6,161.1878655,484.3437899,123.7968927,39.70726032
102,7,154.310366,502.9816939,97.79198947,41.64984423
103,8,183.889138,452.9460971,103.6110953,40.50816013
104,1,182.739113,418.199252,93.48495406,41.36718973
105,2,193.1392228,404.5587083,107.8955071,40.08980501
106,3,177.7261173,486.0918141,96.82460462,36.61090722
107,4,153.643302,460.199835,86.92228861,37.61425554
108,5,143.4146445,507.199115,101.1839668,38.44815773
109,6,171.7176269,521.2292792,123.6384622,38.03055048
110,7,171.594391,422.3881944,94.22978162,41.61045962
111,8,187.6410046,406.7840514,111.040456,47.73008639
112,1,170.3354379,402.4611866,93.23578706,39.73988268
113,2,168.0862276,543.8025395,91.51268123,39.40023543
114,3,168.0457147,531.1397996,80.90882418,41.414875
115,4,170.733787,419.2462404,98.18249778,41.50772589
116,5,173.5966941,404.287915,83.02582378,46.85172715
117,6,168.0933408,453.8903262,135.9703883,32.18648008
118,7,189.6433472,564.4370354,99.57470184,44.06385715
119,8,191.8093639,544.9764303,86.27870378,43.59778167
120,1,182.4671093,501.9189727,85.7626147,51.02148612
121,2,169.3703588,392.5258899,100.7521674,47.02059712
122,3,171.1238797,422.0063424,96.42900467,38.68462352
123,4,158.0733791,453.7889143,93.93561292,36.23028857
124,5,190.3014405,539.7327285,90.57735849,37.60299333
125,6,166.2398938,474.3014304,119.8721146,40.21216176
126,7,190.931693,568.301971,92.02999997,37.55293183
127,8,136.3961897,474.0907356,86.51056926,32.27003284
128,1,151.3356822,444.9226565,94.24737133,42.11965209
129,2,179.0504486,465.5116924,113.3911901,45.08295662
130,3,178.3878636,408.9684303,113.9232102,41.50652825
131,4,153.3816015,428.3083382,103.0969289,41.5457909
132,5,173.7769378,352.781457,98.33705031,40.31428734
133,6,163.43163,489.0487361,111.5340546,46.5526401
134,7,197.7844288,489.7365922,117.9666585,41.68030046
135,8,164.0749745,543.8099308,93.3472026,42.44099581
136,1,172.5353962,511.8863643,91.32942907,32.24883237
137,2,166.7691023,477.2269846,98.1934793,41.51600971
138,3,167.0772515,383.8813567,113.8946078,40.23031931
139,4,187.7612656,521.0548038,93.68114776,44.20038035
140,5,173.4793879,468.2117332,101.9647206,34.94299272
141,6,182.4890525,427.2969787,112.6735716,44.90385233
142,7,155.3982252,458.9138702,105.1409778,41.57134319
143,8,166.40532,460.4132701,107.7951509,33.55705293
144,1,180.0974946,486.7123039,96.73391515,38.89677573
145,2,173.1180374,469.7139989,93.72453259,48.27313029
146,3,204.9436706,500.3294087,106.0172638,48.56769373
147,4,165.6545486,419.732015,103.8983021,40.30602211
148,5,200.2637471,440.0057553,103.672538,34.05107057
