,machineID,volt,rotate,pressure,vibration
0,1,176,418,113,45
1,2,176,424,76,43
2,3,185,461,87,28
3,4,169,463,95,38
4,5,165,452,84,40
5,6,136,492,149,22
6,7,156,519,105,42
7,8,159,409,111,44
8,1,162,402,95,43
9,2,158,432,110,37
10,3,179,519,109,37
11,4,180,538,92,44
12,5,192,515,119,37
13,6,154,450,146,32
14,7,216,510,106,52
15,8,152,504,109,48
16,1,170,527,75,34
17,2,168,454,97,39
18,3,165,467,101,34
19,4,156,413,81,54
20,5,159,512,90,44
21,6,151,360,162,43
22,7,175,453,96,32
23,8,196,363,108,38
24,1,162,346,109,41
25,2,180,438,84,40
26,3,165,391,98,27
27,4,170,416,96,37
28,5,162,308,95,39
29,6,172,455,133,44
30,7,168,488,102,37
31,8,171,485,97,34
32,1,157,435,111,25
33,2,169,473,110,41
34,3,138,488,102,44
35,4,187,464,100,41
36,5,166,521,76,41
37,6,181,428,119,40
38,7,171,513,105,33
39,8,155,463,100,38
40,1,172,430,95,35
41,2,191,369,101,45
42,3,171,424,108,37
43,4,152,454,103,35
44,5,162,391,88,36
45,6,138,436,135,39
46,7,155,429,105,41
47,8,201,529,101,36
48,1,156,499,111,42
49,2,186,483,115,50
50,3,164,382,95,41
51,4,189,451,117,42
52,5,166,426,84,32
53,6,165,475,151,28
54,7,170,444,98,44
55,8,137,446,119,38
56,1,172,409,101,35
57,2,179,450,94,38
58,3,152,461,97,36
59,4,183,551,95,46
60,5,206,394,102,36
61,6,164,520,117,38
62,7,187,408,99,52
63,8,196,405,94,42
64,1,175,398,110,45
65,2,168,494,101,34
66,3,160,512,119,29
67,4,151,413,105,43
68,5,177,489,103,39
69,6,170,526,127,39
70,7,169,401,97,32
71,8,148,489,94,30
72,1,169,460,104,39
73,2,158,427,92,32
74,3,177,416,101,36
75,4,152,421,94,33
76,5,175,472,94,43
77,6,152,524,111,45
78,7,175,409,102,42
79,8,156,467,103,42
80,1,167,382,103,42
81,2,165,457,108,46
82,3,175,428,87,38
83,4,157,423,106,47
84,5,164,454,108,32
85,6,157,361,126,37
86,7,182,414,97,34
87,8,178,450,116,28
88,1,160,448,96,38
89,2,194,400,108,43
90,3,173,466,87,27
91,4,157,327,103,37
92,5,169,472,117,39
93,6,196,519,106,40
94,7,180,493,105,42
95,8,167,479,105,31
96,1,153,490,86,44
97,2,153,422,99,38
98,3,168,521,107,34
99,4,199,437,96,45
100,5,191,419,115,46
101,6,161,484,123,39
102,7,154,502,97,41
103,8,183,452,103,40
104,1,182,418,93,41
105,2,193,404,107,40
106,3,177,486,96,36
107,4,153,460,86,37
108,5,143,507,101,38
109,6,171,521,123,38
110,7,171,422,94,41
111,8,187,406,111,47
112,1,170,402,93,39
113,2,168,543,91,39
114,3,168,531,80,41
115,4,170,419,98,41
116,5,173,404,83,46
117,6,168,453,135,32
118,7,189,564,99,44
119,8,191,544,86,43
120,1,182,501,85,51
121,2,169,392,100,47
122,3,171,422,96,38
123,4,158,453,93,36
124,5,190,539,90,37
125,6,166,474,119,40
126,7,190,568,92,37
127,8,136,474,86,32
128,1,151,444,94,42
129,2,179,465,113,45
130,3,178,408,113,41
131,4,153,428,103,41
132,5,173,352,98,40
133,6,163,489,111,46
134,7,197,489,117,41
135,8,164,543,93,42
136,1,172,511,91,32
137,2,166,477,98,41
138,3,167,383,113,40
139,4,187,521,93,44
140,5,173,468,101,34
141,6,182,427,112,44
142,7,155,458,105,41
143,8,166,460,107,33
144,1,180,486,96,38
145,2,173,469,93,48
146,3,204,500,106,48
147,4,165,419,103,40
148,5,200,440,103,34
149,6,172,441,91,36
150,7,163,412,106,37
151,8,166,426,96,33
152,1,169,519,78,40
153,2,176,447,86,43
154,3,163,536,100,46
155,4,171,468,93,48
156,5,172,501,102,41
157,6,160,490,90,42
158,7,166,402,100,37
159,8,198,571,94,40
160,1,167,427,91,44
161,2,168,480,84,47
162,3,171,395,103,44
163,4,158,413,87,38
164,5,164,557,94,34
165,6,177,384,114,35
166,7,147,478,106,46
167,8,158,341,103,49
168,1,158,422,92,39
169,2,163,388,83,41
170,3,172,441,85,43
171,4,188,370,96,43
172,5,177,513,102,43
173,6,157,518,92,38
174,7,163,376,99,40
175,8,177,408,104,50
176,1,200,403,96,32
177,2,154,381,94,44
178,3,169,514,122,34
