datetime,machineID,volt,rotate,pressure,vibration
2015-01-01 06:00:00,1,176,418,113,45
2015-01-01 06:00:00,2,176,424,76,43
2015-01-01 06:00:00,3,185,461,87,28
2015-01-01 06:00:00,4,169,463,95,38
2015-01-01 06:00:00,5,165,452,84,40
2015-01-01 06:00:00,6,136,492,149,22
2015-01-01 06:00:00,7,156,519,105,42
2015-01-01 06:00:00,8,159,409,111,44
2015-01-01 07:00:00,1,162,402,95,43
2015-01-01 07:00:00,2,158,432,110,37
2015-01-01 07:00:00,3,179,519,109,37
2015-01-01 07:00:00,4,180,538,92,44
2015-01-01 07:00:00,5,192,515,119,37
2015-01-01 07:00:00,6,154,450,146,32
2015-01-01 07:00:00,7,216,510,106,52
2015-01-01 07:00:00,8,152,504,109,48
2015-01-01 08:00:00,1,170,527,75,34
2015-01-01 08:00:00,2,168,454,97,39
2015-01-01 08:00:00,3,165,467,101,34
2015-01-01 08:00:00,4,156,413,81,54
2015-01-01 08:00:00,5,159,512,90,44
2015-01-01 08:00:00,6,151,360,162,43
2015-01-01 08:00:00,7,175,453,96,32
2015-01-01 08:00:00,8,196,363,108,38
2015-01-01 09:00:00,1,162,346,109,41
2015-01-01 09:00:00,2,180,438,84,40
2015-01-01 09:00:00,3,165,391,98,27
2015-01-01 09:00:00,4,170,416,96,37
2015-01-01 09:00:00,5,162,308,95,39
2015-01-01 09:00:00,6,172,455,133,44
2015-01-01 09:00:00,7,168,488,102,37
2015-01-01 09:00:00,8,171,485,97,34
2015-01-01 10:00:00,1,157,435,111,25
2015-01-01 10:00:00,2,169,473,110,41
2015-01-01 10:00:00,3,138,488,102,44
2015-01-01 10:00:00,4,187,464,100,41
2015-01-01 10:00:00,5,166,521,76,41
2015-01-01 10:00:00,6,181,428,119,40
2015-01-01 10:00:00,7,171,513,105,33
2015-01-01 10:00:00,8,155,463,100,38
2015-01-01 11:00:00,1,172,430,95,35
2015-01-01 11:00:00,2,191,369,101,45
2015-01-01 11:00:00,3,171,424,108,37
2015-01-01 11:00:00,4,152,454,103,35
2015-01-01 11:00:00,5,162,391,88,36
2015-01-01 11:00:00,6,138,436,135,39
2015-01-01 11:00:00,7,155,429,105,41
2015-01-01 11:00:00,8,201,529,101,36
2015-01-01 12:00:00,1,156,499,111,42
2015-01-01 12:00:00,2,186,483,115,50
2015-01-01 12:00:00,3,164,382,95,41
2015-01-01 12:00:00,4,189,451,117,42
2015-01-01 12:00:00,5,166,426,84,32
2015-01-01 12:00:00,6,165,475,151,28
2015-01-01 12:00:00,7,170,444,98,44
2015-01-01 12:00:00,8,137,446,119,38
2015-01-01 13:00:00,1,172,409,101,35
2015-01-01 13:00:00,2,179,450,94,38
2015-01-01 13:00:00,3,152,461,97,36
2015-01-01 13:00:00,4,183,551,95,46
2015-01-01 13:00:00,5,206,394,102,36
2015-01-01 13:00:00,6,164,520,117,38
2015-01-01 13:00:00,7,187,408,99,52
2015-01-01 13:00:00,8,196,405,94,42
2015-01-01 14:00:00,1,175,398,110,45
2015-01-01 14:00:00,2,168,494,101,34
2015-01-01 14:00:00,3,160,512,119,29
2015-01-01 14:00:00,4,151,413,105,43
2015-01-01 14:00:00,5,177,489,103,39
2015-01-01 14:00:00,6,170,526,127,39
2015-01-01 14:00:00,7,169,401,97,32
2015-01-01 14:00:00,8,148,489,94,30
2015-01-01 15:00:00,1,169,460,104,39
2015-01-01 15:00:00,2,158,427,92,32
2015-01-01 15:00:00,3,177,416,101,36
2015-01-01 15:00:00,4,152,421,94,33
2015-01-01 15:00:00,5,175,472,94,43
2015-01-01 15:00:00,6,152,524,111,45
2015-01-01 15:00:00,7,175,409,102,42
2015-01-01 15:00:00,8,156,467,103,42
2015-01-01 16:00:00,1,167,382,103,42
2015-01-01 16:00:00,2,165,457,108,46
2015-01-01 16:00:00,3,175,428,87,38
2015-01-01 16:00:00,4,157,423,106,47
2015-01-01 16:00:00,5,164,454,108,32
2015-01-01 16:00:00,6,157,361,126,37
2015-01-01 16:00:00,7,182,414,97,34
2015-01-01 16:00:00,8,178,450,116,28
2015-01-01 17:00:00,1,160,448,96,38
2015-01-01 17:00:00,2,194,400,108,43
2015-01-01 17:00:00,3,173,466,87,27
2015-01-01 17:00:00,4,157,327,103,37
2015-01-01 17:00:00,5,169,472,117,39
2015-01-01 17:00:00,6,196,519,106,40
2015-01-01 17:00:00,7,180,493,105,42
2015-01-01 17:00:00,8,167,479,105,31
2015-01-01 18:00:00,1,153,490,86,44
2015-01-01 18:00:00,2,153,422,99,38
2015-01-01 18:00:00,3,168,521,107,34
2015-01-01 18:00:00,4,199,437,96,45
2015-01-01 18:00:00,5,191,419,115,46
2015-01-01 18:00:00,6,161,484,123,39
2015-01-01 18:00:00,7,154,502,97,41
2015-01-01 18:00:00,8,183,452,103,40
2015-01-01 19:00:00,1,182,418,93,41
2015-01-01 19:00:00,2,193,404,107,40
2015-01-01 19:00:00,3,177,486,96,36
2015-01-01 19:00:00,4,153,460,86,37
2015-01-01 19:00:00,5,143,507,101,38
2015-01-01 19:00:00,6,171,521,123,38
2015-01-01 19:00:00,7,171,422,94,41
2015-01-01 19:00:00,8,187,406,111,47
2015-01-01 20:00:00,1,170,402,93,39
2015-01-01 20:00:00,2,168,543,91,39
2015-01-01 20:00:00,3,168,531,80,41
2015-01-01 20:00:00,4,170,419,98,41
2015-01-01 20:00:00,5,173,404,83,46
2015-01-01 20:00:00,6,168,453,135,32
2015-01-01 20:00:00,7,189,564,99,44
2015-01-01 20:00:00,8,191,544,86,43
2015-01-01 21:00:00,1,182,501,85,51
2015-01-01 21:00:00,2,169,392,100,47
2015-01-01 21:00:00,3,171,422,96,38
2015-01-01 21:00:00,4,158,453,93,36
2015-01-01 21:00:00,5,190,539,90,37
2015-01-01 21:00:00,6,166,474,119,40
2015-01-01 21:00:00,7,190,568,92,37
2015-01-01 21:00:00,8,136,474,86,32
2015-01-01 22:00:00,1,151,444,94,42
2015-01-01 22:00:00,2,179,465,113,45
2015-01-01 22:00:00,3,178,408,113,41
2015-01-01 22:00:00,4,153,428,103,41
2015-01-01 22:00:00,5,173,352,98,40
2015-01-01 22:00:00,6,163,489,111,46
2015-01-01 22:00:00,7,197,489,117,41
2015-01-01 22:00:00,8,164,543,93,42
2015-01-01 23:00:00,1,172,511,91,32
2015-01-01 23:00:00,2,166,477,98,41
2015-01-01 23:00:00,3,167,383,113,40
2015-01-01 23:00:00,4,187,521,93,44
2015-01-01 23:00:00,5,173,468,101,34
